Designator,Mid X,Mid Y,Rotation,Layer
C1,158.75,-116.84,0.0,bottom
C2,144.78,-116.84,0.0,bottom
D1,158.75,-109.22,180.0,top
D2,158.75,-124.46,180.0,top
D3,144.78,-113.665,180.0,bottom
F1,144.78,-120.015,180.0,bottom
J1,133.985,-116.84,270.0,top
J2,152.4,-109.22,270.0,top
J3,152.4,-124.46,270.0,top
R1,158.75,-111.76,0.0,bottom
R2,158.75,-114.3,180.0,bottom
R3,158.75,-119.38,180.0,bottom
R4,158.75,-121.92,0.0,bottom
SW1,158.75,-113.665,0.0,top
SW2,158.75,-120.015,0.0,top
U1,144.78,-116.84,270.0,top
